person_name,person_wikidata_id,person_description,role,organization,org_wikidata_id,start_year,end_year,viaf_id,isiscb_id,cb_viaf_id,match_method,match_source
Roy Porter,Q354728,British historian of medicine (1946–2002),member/fellow,International Academy of the History of Science,Q337449,,,23033,CBA530327049,http://viaf.org/viaf/15159233892303370387,viaf,member
Rudolf Fueter,Q1532992,Swiss mathematician (1880-1950),member/fellow,International Academy of the History of Science,Q337449,,,34534459,CBA000034559,http://viaf.org/viaf/34534459,viaf,member
Rudolph Zaunick,Q2174498,German historian and biologist (1893–1967),member/fellow,International Academy of the History of Science,Q337449,,,40171694,CBA000112806,,name,member
Samuel Dickstein,Q321952,Polish mathematician (1851-1939),member/fellow,International Academy of the History of Science,Q337449,,,17354897,CBA976499710,http://viaf.org/viaf/17354897,viaf,member
Samuel Sambursky,Q48688470,Israeli historian (1900-1990),member/fellow,International Academy of the History of Science,Q337449,,,22155968,,,,member
Shigeru Nakayama,Q11364272,Japanese historian of science (1928-2014),member/fellow,International Academy of the History of Science,Q337449,,,108136378,CBA000073046,,name,member
Shimon Fritz Bodenheimer,Q7496986,"Israeli entomologist, zoologist, biologist (1897-1959)",member/fellow,International Academy of the History of Science,Q337449,,,79091256,CBA754077482,http://viaf.org/viaf/79091256,viaf,member
Siegfried Heller,Q29168613,,member/fellow,International Academy of the History of Science,Q337449,,,281754157,,,,member
Solomon Gandz,Q7558609,Austrian historian (1883–1954),member/fellow,International Academy of the History of Science,Q337449,,,2838061,,,,member
Stefan Amsterdamski,Q7940927,Polish philosopher (1929–2005),member/fellow,International Academy of the History of Science,Q337449,,,64084451,CBA000002104,,name,member
Sten Lindroth,Q5957946,Swedish historian (1914–1980),member/fellow,International Academy of the History of Science,Q337449,,,33009173,CBA000060971,,name,member
Stillman Drake,Q2349689,Canadian academic (1910–1993),member/fellow,International Academy of the History of Science,Q337449,,,108296373,CBA000026976,http://viaf.org/viaf/108296373,viaf,member
Suketoshi Yajima,Q11584075,Japanese science historian (1903–1995),member/fellow,International Academy of the History of Science,Q337449,,,108517670,,,,member
Suzanne Bachelard,Q3505892,French philosopher (1919-2007),member/fellow,International Academy of the History of Science,Q337449,,,79055910,CBA000004170,,name,member
Suzanne Débarbat,Q30118593,French astronomer,member/fellow,International Academy of the History of Science,Q337449,,,6072024,CBA000024094,,name,member
Tamotsu Murata,Q11523403,Japanese philosopher,member/fellow,International Academy of the History of Science,Q337449,,,108191408,CBA000072504,,name,member
Thomas Kuhn,Q184980,"American historian, physicist and philosopher (1922 – 1996)",member/fellow,International Academy of the History of Science,Q337449,,,22144060,CBA000056513,http://viaf.org/viaf/22144060,viaf,member
Thomas Little Heath,Q925037,"British civil servant, mathematician and classicist (1861–1940)",member/fellow,International Academy of the History of Science,Q337449,,,7457202,CBA298747757,http://viaf.org/viaf/7457202,viaf,member
Tom Whiteside,Q1200127,British mathematician and historian of mathematics (1932–2008),member/fellow,International Academy of the History of Science,Q337449,,,262811787,CBA000109371,http://viaf.org/viaf/262811787,viaf,member
Tore Frängsmyr,Q5746257,Swedish historian (1938–2017),member/fellow,International Academy of the History of Science,Q337449,,,98359590,CBA000033533,,name,member
Ugo Cassina,Q4002767,Italian mathematician (1897-1964),member/fellow,International Academy of the History of Science,Q337449,,,91574726,,,,member
Uta Lindgren,Q15444689,German historian of technology and medievalist,member/fellow,International Academy of the History of Science,Q337449,,,221637264,CBA000060940,,name,member
Vasco Ronchi,Q7916425,Italian physicist (1897-1988),member/fellow,International Academy of the History of Science,Q337449,,,67674189,CBA000086775,,name,member
Victor Gomoiu,Q12743387,"Romanian surgeon, anatomist, folklorist (1882 - 1960)",member/fellow,International Academy of the History of Science,Q337449,,,84821596,,,,member
Vincent Jullien,Q93226324,French philosopher,member/fellow,International Academy of the History of Science,Q337449,,,36935991,CBA000051474,,name,member
Walter Gerlach,Q61745,German physicist (1889-1979),member/fellow,International Academy of the History of Science,Q337449,,,114589075,,,,member
Walter Pagel,Q75242,pathologist and medical historian (1898-1983),member/fellow,International Academy of the History of Science,Q337449,,,76321014,CBA000076655,http://viaf.org/viaf/76321014,viaf,member
Wang Ling,Q7967543,Australian historian (1917–1994),member/fellow,International Academy of the History of Science,Q337449,,,100223079,,,,member
William Henri Schopfer,Q17194423,Swiss botanist (1900-1962),member/fellow,International Academy of the History of Science,Q337449,,,203326592,,,,member
William Henry Welch,Q174743,American physician and scientist (1850–1934),member/fellow,International Academy of the History of Science,Q337449,,,67246603,CBA000108574,http://viaf.org/viaf/67246603,viaf,member
Willy Hartner,Q99857,German polymath (1905–1981),member/fellow,International Academy of the History of Science,Q337449,,,64799127,CBA000043236,http://viaf.org/viaf/64799127,viaf,member
Wolfgang Kaunzner,Q15444384,German mathematician and historian of mathematics,member/fellow,International Academy of the History of Science,Q337449,,,12411472,CBA000052544,,name,member
Wu Lien-teh,Q1036871,Malaysian physician (1879–1960),member/fellow,International Academy of the History of Science,Q337449,,,5741259,CBA000111660,http://viaf.org/viaf/5741259,viaf,member
Władysław Szumowski,Q57264799,"Polish physician, historian, and philosopher",member/fellow,International Academy of the History of Science,Q337449,,,84821434,CBA000100324,,name,member
Włodzimierz Hubicki,Q9382652,Polish chemist (1914-1977),member/fellow,International Academy of the History of Science,Q337449,,,55831275,,,,member
Yehuda Elkana,Q674208,Israeli philosopher (1934-2012),member/fellow,International Academy of the History of Science,Q337449,,,108274001,CBA000029010,,name,member
Yoshio Mikami,Q251702,Japanese mathematician (1875-1950),member/fellow,International Academy of the History of Science,Q337449,,,9931258,CBA000069294,http://viaf.org/viaf/9931258,viaf,member
Yvonne Dold-Samplonius,Q2602365,"Dutch mathematician, historian of mathematics and historian (1937-2014)",member/fellow,International Academy of the History of Science,Q337449,,,66557192,CBA000026307,,name,member
Zdeněk Frankenberger,Q12779338,Czech entomologist,member/fellow,International Academy of the History of Science,Q337449,,,23167962,,,,member
Zofia Ameisenowa,Q9391705,,member/fellow,International Academy of the History of Science,Q337449,,,5953923,,,,member
Zoltán Szőkefalvi-Nagy,Q20478701,,member/fellow,International Academy of the History of Science,Q337449,,,4951511,,,,member
Émile Guyénot,Q3588552,French biologist (1885-1963),member/fellow,International Academy of the History of Science,Q337449,,,109851191,CBA000041286,,name,member
Émile Meyerson,Q286232,"Polish-born French epistemologist, chemist, and philosopher of science",member/fellow,International Academy of the History of Science,Q337449,,,64009283,CBA000068992,,name,member
Éva Vámos,Q21065215,Hungarian historian (1950–2015),member/fellow,International Academy of the History of Science,Q337449,,,16136349,CBA000160784,,name,member
Ørjan Olsen,Q59241114,Norwegian zoologist (1885–1972),member/fellow,International Academy of the History of Science,Q337449,,,188452666,,,,member
Ștefan Bălan,Q12744277,Mayor of Bucharest,member/fellow,International Academy of the History of Science,Q337449,,,93101250,,,,member
Vladimir Kuznetsov,Q4244958,historian of chemistry,staff/affiliated,International Academy of the History of Science,Q337449,,,23536593,CBA000056876,,name,employer
Kenneth O. May,Q1398929,American mathematician (1915–1977),member/fellow,International Commission on the History of Mathematics,Q41713653,,,55566303,CBA000066504,,name,member
Jean-Charles Sournia,Q33137444,French surgeon (1917–2000),member/fellow,International Society for the History of Medicine,Q6053434,,,68936051,CBA000096781,http://viaf.org/viaf/192012889,name,member
Jerzy Strojnowski,Q11725457,Polish psychiatrist,member/fellow,International Society for the History of Medicine,Q6053434,,,77712041,,,,member
János Baradlai,Q67166818,"Hungarian pharmacist, historian of pharmacy",member/fellow,International Society for the History of Pharmacy,Q17322448,,,166156563520423241383,,,,member
David Marshall Miller,Q104214475,American philosophy professor,member/fellow,International Society for the History of Philosophy of Science,Q6053438,,,302291300,CBA000069502,,name,member
Patrick J. Boner,Q101438764,historian of science,member/fellow,International Society for the History of Philosophy of Science,Q6053438,,,236459928,CBA000010736,,name,member
Paul Bernays,Q122318,Swiss mathematician (1888–1977),member/fellow,International Society for the History of Philosophy of Science,Q6053438,,,39455306,CBA000008276,,name,member
Louis de Broglie,Q83331,Nobel laureate credited to pioneer the discovery of wave character of matter (1892–1987),President of the International Union of History and Philosophy of Science,International Union of History and Philosophy of Science,Q6054107,1953,1956,4927396,CBA000013077,,name,position
Wilfrid Hodges,Q451634,British mathematician,President of the International Union of History and Philosophy of Science,International Union of History and Philosophy of Science,Q6054107,2010,2011,44358501,CBA000046213,,name,position
Alfred Tarski,Q207534,Polish-American logician (1901-1983),member/fellow,International Union of History and Philosophy of Science,Q6054107,,,88667191,CBA000100786,,name,member
Erwin N. Hiebert,Q28038698,Canadian-American physicist (1919–2012),member/fellow,International Union of History and Philosophy of Science,Q6054107,,,109420279,CBA000045517,,name,member
Helena Rasiowa,Q455501,Polish mathematician (1917-1994),member/fellow,International Union of History and Philosophy of Science,Q6054107,,,46889273,,,,member
Jim Bennett,Q6193623,British historian of science and museum curator,member/fellow,International Union of History and Philosophy of Science,Q6054107,,,208035093,CBA000007663,,name,member
Curt John Ducasse,Q1134374,American philosopher (1881–1969),chairperson/president,Philosophy of Science Association,Q7186252,1958,1961,71474746,,,,chairperson
Alison Wylie,Q4727229,philosopher of philosophy,chairperson/president,Philosophy of Science Association,Q7186252,,,66595049,CBA000111812,,name,chairperson
Aaron Novick,Q91376074,professor of philosophy,member/fellow,Philosophy of Science Association,Q7186252,,,,CBA124825922,,name,member
Benjamin Feintzeig,Q102489160,professor of philosophy,member/fellow,Philosophy of Science Association,Q7186252,,,,,,,member
David Marshall Miller,Q104214475,American philosophy professor,member/fellow,Philosophy of Science Association,Q7186252,,,302291300,CBA000069502,,name,member
Lynn Hankinson Nelson,Q106378365,professor of philosophy,member/fellow,Philosophy of Science Association,Q7186252,,,111050550,CBA000073550,,name,member
Peter K. Machamer,Q16847586,American philosopher and historian of science,member/fellow,Philosophy of Science Association,Q7186252,,,5085732,CBA000063260,,name,member
Robert Bishop,Q55077112,professor of physics and philosophy,member/fellow,Philosophy of Science Association,Q7186252,,,74093079,CBA000009449,,name,member
Robert O'Connor,Q95982899,professor of philosophy,member/fellow,Philosophy of Science Association,Q7186252,,,,CBA000075016,,name,member
Sherrilyn Roush,Q7495367,American epistemologist and philosophy professor,member/fellow,Philosophy of Science Association,Q7186252,,,49511318,CBA000087634,,name,member
John F. Kasson,Q21178816,American historian,member/fellow,Society for the History of Technology,Q2296883,,,33166374,CBA000052356,,name,member
Michael R. Curry,Q129855181,American geographer and professor emeritus,member/fellow,Society for the History of Technology,Q2296883,,,44461710,,,,member
Pamela H. Smith,Q28027754,historian of science,member/fellow,Society for the History of Technology,Q2296883,,,191150061,CBA000095915,http://viaf.org/viaf/191150061,viaf,member
Sławomir Łotysz,Q24431396,,member/fellow,Society for the History of Technology,Q2296883,,,305391482,,,,member
André Doyon,Q124659377,(1906-1988),member/fellow,Société française d'histoire des sciences et des techniques,Q47119489,,,19767361,,,,member
Vincent Jullien,Q93226324,French philosopher,member/fellow,Société française d'histoire des sciences et des techniques,Q47119489,,,36935991,CBA000051474,,name,member
